
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:02:13.020 --> 00:02:16.440]   is when your kids get a little bit hurt, you know?
[00:02:16.440 --> 00:02:19.980]   They're like, "Yo, Dad, so-and-so not like us anymore,"
[00:02:19.980 --> 00:02:22.540]   or, "I think there's some people that don't like you,"
[00:02:22.540 --> 00:02:25.760]   and you're like, "Ah," and trying to explain
[00:02:25.760 --> 00:02:27.540]   some of the criticism and the critique,
[00:02:27.540 --> 00:02:30.540]   and I don't blame people for criticizing and critiquing.
[00:02:30.540 --> 00:02:32.240]   People care deeply about Scripture.
[00:02:32.240 --> 00:02:35.040]   They care deeply about integrity and character and morality,
[00:02:35.040 --> 00:02:37.760]   and these are things that I care about deeply as well.
[00:02:37.760 --> 00:02:38.840]   I think sometimes people think,
[00:02:38.840 --> 00:02:40.680]   "Well, if you dress a certain way,
[00:02:40.680 --> 00:02:42.340]   "or if you have certain friends,
[00:02:42.340 --> 00:02:45.300]   "you can't actually hold some sort of standard
[00:02:45.300 --> 00:02:46.920]   "of God's word," you know?
[00:02:46.920 --> 00:02:50.400]   But actually, you can, and we're endeavoring to do that.
[00:02:50.400 --> 00:02:51.740]   So I love this life.
[00:02:51.740 --> 00:02:55.160]   It comes with its challenges, but I chose it, man.
[00:02:55.160 --> 00:02:57.520]   - I actually was about to ask you this later
[00:02:57.520 --> 00:02:58.360]   about your kids.
[00:02:58.360 --> 00:03:01.320]   You brought up how they can ask you questions
[00:03:01.320 --> 00:03:02.920]   about what's going on with certain people,
[00:03:02.920 --> 00:03:04.600]   why do they not like me anymore.
[00:03:04.600 --> 00:03:07.840]   Do you ever worry about your kids being pastor's kids
[00:03:07.840 --> 00:03:10.480]   and the challenges that kind of come along with that?
[00:03:10.480 --> 00:03:15.480]   - Yeah, I do, man, and I think you know what it's like.
[00:03:15.480 --> 00:03:18.440]   Your parents were public figures as well,
[00:03:18.440 --> 00:03:20.680]   and you know what it's like when your parents
[00:03:20.680 --> 00:03:24.000]   are example Christians, like Christian examples.
[00:03:24.000 --> 00:03:25.860]   There comes a pressure.
[00:03:25.860 --> 00:03:27.320]   You and all your brothers and sisters are like,
[00:03:27.320 --> 00:03:29.160]   "Well, we gotta be good, I guess, too,"
[00:03:29.160 --> 00:03:31.920]   and so you know what that's like, and it is challenging.
[00:03:31.920 --> 00:03:35.320]   I think one of the reasons our kids
[00:03:35.320 --> 00:03:37.580]   are in the L.A. public school system
[00:03:37.580 --> 00:03:40.240]   is so that they would receive exposure.
[00:03:40.240 --> 00:03:42.640]   I believe in education a lot.
[00:03:42.640 --> 00:03:44.600]   I just might believe in exposure more.
[00:03:44.600 --> 00:03:46.740]   It might be the greatest form of education,
[00:03:46.740 --> 00:03:49.260]   and I wanted them to be cultured.
[00:03:49.260 --> 00:03:50.640]   I wanted them to be challenged.
[00:03:50.640 --> 00:03:53.340]   I wanted them to really experience life,
[00:03:53.340 --> 00:03:57.000]   and I think as a result, the church bubble
[00:03:57.000 --> 00:03:59.580]   that's somewhat a part of my life,
[00:03:59.580 --> 00:04:02.200]   it isn't everything for the Smith family.
[00:04:02.200 --> 00:04:03.040]   You know what I mean?
[00:04:03.040 --> 00:04:05.080]   - They're very, like, yeah, like I've been around them,
[00:04:05.080 --> 00:04:06.480]   they're like cool kids.
[00:04:06.480 --> 00:04:07.580]   (laughing)
[00:04:07.580 --> 00:04:09.060]   I remember me-- - Thank you for saying that.
[00:04:09.060 --> 00:04:11.520]   - Yeah, for me growing up, I was homeschooled
[00:04:11.520 --> 00:04:12.520]   all the way until eighth grade,
[00:04:12.520 --> 00:04:15.340]   and I remember going into school in eighth grade
[00:04:15.340 --> 00:04:18.020]   and literally, like, I didn't know what was going on.
[00:04:18.020 --> 00:04:20.580]   These kids were talking about stuff I had never heard about.
[00:04:20.580 --> 00:04:22.660]   They were doing stuff I didn't even know
[00:04:22.660 --> 00:04:24.500]   was a thing for kids my age,
[00:04:24.500 --> 00:04:26.220]   and so, like, that point that you bring up
[00:04:26.220 --> 00:04:28.720]   about, like, exposure, I know every parent
[00:04:28.720 --> 00:04:30.780]   parents differently, but I could definitely see
[00:04:30.780 --> 00:04:33.720]   that being, like, big, especially for pastor's kids,
[00:04:33.720 --> 00:04:37.020]   so they're not just, like, little weirdos, you know what I mean?
[00:04:37.020 --> 00:04:38.780]   - Well, whatever your parents did,
[00:04:38.780 --> 00:04:41.540]   I will go on record on Curious Mike right now
[00:04:41.540 --> 00:04:46.260]   and just say they have raised some of the most considerate,
[00:04:46.260 --> 00:04:51.060]   kind, socially skilled kids I've ever seen,
[00:04:51.060 --> 00:04:54.080]   and I mean that, I just love you, your siblings.
[00:04:54.080 --> 00:04:55.740]   Your parents are heroic to me,
[00:04:55.740 --> 00:04:58.860]   and it's not easy to raise kids these days, man.
[00:04:58.860 --> 00:04:59.700]   - Thank you, brother.
[00:04:59.700 --> 00:05:02.100]   - But you're an incredible example, for sure.
[00:05:02.100 --> 00:05:02.940]   - Thank you, brother.
[00:05:02.940 --> 00:05:03.980]   - I mean it. - So what about,
[00:05:03.980 --> 00:05:07.420]   so what about you and, like, your own struggles,
[00:05:07.420 --> 00:05:10.980]   your own temptations, like, as you grew into the limelight,
[00:05:10.980 --> 00:05:13.100]   becoming, you know, the pastor that you are,
[00:05:13.100 --> 00:05:15.260]   the big time pastor that you are,
[00:05:15.260 --> 00:05:17.980]   what, like, what do you struggle with?
[00:05:17.980 --> 00:05:20.780]   Or do you have, to me, you seem like a superhero,
[00:05:20.780 --> 00:05:22.860]   like, you don't deal with much temptation,
[00:05:22.860 --> 00:05:24.200]   but I know, like, everyone's human,
[00:05:24.200 --> 00:05:25.580]   so what do you deal with?
[00:05:25.580 --> 00:05:28.160]   - Yeah, I think the brokenness in all of us
[00:05:28.160 --> 00:05:33.160]   just has to be addressed, has to be identified, mitigated.
[00:05:33.160 --> 00:05:36.460]   I think there are things that I just won't do
[00:05:36.460 --> 00:05:39.900]   because I don't fully trust myself.
[00:05:40.780 --> 00:05:43.480]   I love who I am, I enjoy that,
[00:05:43.480 --> 00:05:45.660]   but I don't fully trust myself.
[00:05:45.660 --> 00:05:48.220]   And I think kind of any person who's like,
[00:05:48.220 --> 00:05:49.460]   "I totally trust myself."
[00:05:49.460 --> 00:05:51.740]   I'm like, "Well, I don't know if I trust that."
[00:05:51.740 --> 00:05:53.620]   You know, 'cause you really gotta be honest with yourself.
[00:05:53.620 --> 00:05:58.620]   So I don't travel alone, I don't meet with women one-on-one,
[00:05:58.620 --> 00:06:02.500]   I don't call women one-on-one, text with,
[00:06:02.500 --> 00:06:07.500]   I just, for me, a commitment, I'm a one-woman kind of guy,
[00:06:07.500 --> 00:06:09.660]   and I've just made that commitment.
[00:06:09.660 --> 00:06:12.020]   To say that there's no temptation there is silly,
[00:06:12.020 --> 00:06:15.100]   of course, but I made a commitment with my heart,
[00:06:15.100 --> 00:06:16.900]   my emotions, my eyes, my thoughts,
[00:06:16.900 --> 00:06:21.040]   and if you just take it a day at a time,
[00:06:21.040 --> 00:06:22.780]   it's a lot less overwhelming sometimes
[00:06:22.780 --> 00:06:24.220]   because we're so inundated.
[00:06:24.220 --> 00:06:27.540]   And obviously, I pray for you almost every day,
[00:06:27.540 --> 00:06:31.300]   and when I do, I constantly think of the unique challenges
[00:06:31.300 --> 00:06:32.700]   and temptations that come with being
[00:06:32.700 --> 00:06:35.820]   a handsome professional athlete, I might add.
[00:06:35.820 --> 00:06:38.220]   People do not know this about Curious Mike,
[00:06:38.220 --> 00:06:42.360]   but he was rated the best-looking Denver Nugget on the team.
[00:06:42.360 --> 00:06:45.300]   That's a fact, that's a fact.
[00:06:45.300 --> 00:06:47.780]   And I had to inform him, that's how humble this man is,
[00:06:47.780 --> 00:06:50.980]   he didn't even know that you won the fan vote,
[00:06:50.980 --> 00:06:52.680]   but I was proud. - You're crazy, man.
[00:06:52.680 --> 00:06:54.340]   - But there is unique temptations, isn't there,
[00:06:54.340 --> 00:06:57.620]   that come with leadership and people that know you,
[00:06:57.620 --> 00:07:02.220]   and so it's like before the emotion of a beautiful woman,
[00:07:02.220 --> 00:07:04.820]   before you get into a wrong situation,
[00:07:04.820 --> 00:07:06.700]   it's like owning your proclivities
[00:07:06.700 --> 00:07:08.460]   and tendencies and weaknesses.
[00:07:08.460 --> 00:07:10.660]   And the way you do that, by the way,
[00:07:10.660 --> 00:07:13.300]   is you say it out loud to close friends
[00:07:13.300 --> 00:07:14.820]   who know you and walk with you.
[00:07:14.820 --> 00:07:16.700]   Like, "Hey, this is what scares me."
[00:07:16.700 --> 00:07:19.260]   I'll never forget, I told my future father-in-law
[00:07:19.260 --> 00:07:21.460]   at the time, this is 22 years ago,
[00:07:21.460 --> 00:07:23.300]   he asked me before I got the permission
[00:07:23.300 --> 00:07:25.680]   to marry his daughter, he said, "What's your greatest fear?"
[00:07:25.680 --> 00:07:27.460]   And I was like, "Oh, man, shoot,
[00:07:27.460 --> 00:07:29.940]   "I don't know if I'm gonna tell him the truth," right?
[00:07:29.940 --> 00:07:32.660]   He goes, "Mine is suicide that I will commit."
[00:07:32.660 --> 00:07:35.180]   He goes, "My older brother committed suicide,
[00:07:35.180 --> 00:07:36.020]   "and that's mine."
[00:07:36.020 --> 00:07:37.380]   And when he did that, I was like,
[00:07:37.380 --> 00:07:39.820]   "I think that's odd, it's like I better match that."
[00:07:39.820 --> 00:07:42.420]   And I said, "My greatest fear is that I would cheat
[00:07:42.420 --> 00:07:45.500]   "on your daughter if I had the honor to marry her."
[00:07:45.500 --> 00:07:46.340]   And he goes, "What?"
[00:07:46.340 --> 00:07:48.080]   And I go, "My middle name is Elwood."
[00:07:48.080 --> 00:07:49.220]   - You're a bold man.
[00:07:49.220 --> 00:07:50.620]   - Yeah, but I just had to tell him
[00:07:50.620 --> 00:07:53.820]   because I was like, at some point,
[00:07:53.820 --> 00:07:56.500]   like either I'm gonna be honest with this man,
[00:07:56.500 --> 00:07:59.300]   and I'm gonna set this thing in motion in an honest way,
[00:07:59.300 --> 00:08:00.860]   or I'm gonna be like, I'm gonna give him
[00:08:00.860 --> 00:08:02.860]   like number two greatest fear or number three.
[00:08:02.860 --> 00:08:04.380]   And I was like, "No, I'm just gonna go for it."
[00:08:04.380 --> 00:08:05.700]   And then he ended up telling me something
[00:08:05.700 --> 00:08:09.100]   that changed my life, and he felt like my awareness
[00:08:09.100 --> 00:08:11.820]   that I could do that would be the reason I wouldn't.
[00:08:11.820 --> 00:08:13.840]   - Yes, that's big time.
[00:08:13.840 --> 00:08:15.980]   I know a lot of Christians or people,
[00:08:15.980 --> 00:08:17.980]   they think like they'll grow into this spot
[00:08:17.980 --> 00:08:19.260]   where they're almost like invincible,
[00:08:19.260 --> 00:08:21.780]   and they can like do anything, be around anything,
[00:08:21.780 --> 00:08:22.800]   and it won't affect them.
[00:08:22.800 --> 00:08:24.780]   But you are saying the way you battle it
[00:08:24.780 --> 00:08:27.100]   is every day realizing your weaknesses
[00:08:27.100 --> 00:08:28.660]   and realizing they're not going anywhere.
[00:08:28.660 --> 00:08:30.980]   Like even as you grow in faith,
[00:08:30.980 --> 00:08:33.060]   and every single day we strive to be better,
[00:08:33.060 --> 00:08:35.140]   like those temptations, they're not going anywhere.
[00:08:35.140 --> 00:08:38.340]   So you, to this day, don't travel alone,
[00:08:38.340 --> 00:08:41.460]   don't hang with girls one-on-one, like that's--
[00:08:41.460 --> 00:08:43.820]   - I don't trust myself, for me it's a fact.
[00:08:43.820 --> 00:08:45.300]   - And that's you being a pastor,
[00:08:45.300 --> 00:08:47.740]   and I think that's just so like big time
[00:08:47.740 --> 00:08:49.820]   because I know, like I talk to people a lot,
[00:08:49.820 --> 00:08:52.060]   and they're just, you know, they say like as you grow,
[00:08:52.060 --> 00:08:53.580]   and you can start doing certain things
[00:08:53.580 --> 00:08:55.620]   that you might not be able to used to do.
[00:08:55.620 --> 00:08:56.900]   And that might be true in some sense,
[00:08:56.900 --> 00:08:59.860]   but overall, like our temptations are,
[00:08:59.860 --> 00:09:00.820]   they're not going anywhere,
[00:09:00.820 --> 00:09:02.820]   no matter how close with God you get.
[00:09:02.820 --> 00:09:05.380]   So I think that's dope.
[00:09:05.380 --> 00:09:06.580]   - Thanks, man.
[00:09:06.580 --> 00:09:09.060]   - Man, I got an interesting topic for you.
[00:09:09.060 --> 00:09:13.300]   I wanna talk about that Instagram page,
[00:09:13.300 --> 00:09:14.580]   Preachers With Sneakers,
[00:09:14.580 --> 00:09:17.380]   it talks about, you know, you're on there,
[00:09:17.380 --> 00:09:18.580]   I know another pastor on there,
[00:09:18.580 --> 00:09:19.820]   some other big time pastors,
[00:09:19.820 --> 00:09:23.060]   but they always are posting your guys' clothes,
[00:09:23.060 --> 00:09:25.300]   or your shoes, and they're putting like the price tag,
[00:09:25.300 --> 00:09:27.580]   and like, and they're,
[00:09:27.580 --> 00:09:28.620]   I don't know what they're trying to do,
[00:09:28.620 --> 00:09:29.780]   condemn it, or whatever they do.
[00:09:29.780 --> 00:09:31.300]   I wanna get your perspective on that,
[00:09:31.300 --> 00:09:34.980]   and like, see, to me, it's like,
[00:09:34.980 --> 00:09:36.820]   if you like clothes, wear cool clothes.
[00:09:36.820 --> 00:09:38.500]   If you like shoes, wear cool shoes.
[00:09:38.500 --> 00:09:41.620]   But this page, and then like a lot of the comments
[00:09:41.620 --> 00:09:43.340]   are like condemning towards pastors
[00:09:43.340 --> 00:09:46.060]   that wear nice things, or have nice things.
[00:09:46.060 --> 00:09:47.780]   What is your kind of take on that?
[00:09:47.780 --> 00:09:49.460]   - Well, it's wild that you bring that up,
[00:09:49.460 --> 00:09:51.300]   because I actually just did a podcast
[00:09:51.300 --> 00:09:53.060]   with the creator of Preachers With Sneakers.
[00:09:53.060 --> 00:09:54.580]   - Did you?
[00:09:54.580 --> 00:09:55.980]   - He's actually become a friend,
[00:09:55.980 --> 00:09:58.100]   only because I felt like, all right,
[00:09:58.100 --> 00:10:02.380]   somebody's having a go here at my friends,
[00:10:02.380 --> 00:10:07.020]   and more kind of the role in culture
[00:10:07.020 --> 00:10:09.060]   that pastors hold, and they're having a go at it.
[00:10:09.060 --> 00:10:11.140]   So I was like, okay, I wonder,
[00:10:11.140 --> 00:10:13.460]   I was taught like when somebody really comes in
[00:10:13.460 --> 00:10:15.260]   hot and heavy with criticism,
[00:10:15.260 --> 00:10:17.300]   to stop at least for a moment and go,
[00:10:17.300 --> 00:10:18.660]   is there any truth to this?
[00:10:18.660 --> 00:10:21.020]   Oh, and by the way, if I react to this,
[00:10:21.020 --> 00:10:24.420]   and I don't like it, is that 'cause it's kinda true?
[00:10:24.420 --> 00:10:26.060]   So I just started to ask the question like,
[00:10:26.060 --> 00:10:30.700]   well, what would be some truth here in this approach?
[00:10:30.700 --> 00:10:34.380]   I don't prefer putting people on blast.
[00:10:34.380 --> 00:10:37.820]   You don't know how people got those Gucci shoes,
[00:10:37.820 --> 00:10:40.820]   or got that, not that it necessarily matters,
[00:10:40.820 --> 00:10:43.880]   but assuming that preachers everywhere
[00:10:43.880 --> 00:10:45.380]   are spending the amounts of money
[00:10:45.380 --> 00:10:47.780]   that he's posting on that particular piece,
[00:10:47.780 --> 00:10:49.780]   is obviously a gross assumption, right?
[00:10:49.780 --> 00:10:54.300]   'Cause who knows if their so-and-so grandmother
[00:10:54.300 --> 00:10:56.260]   is one of the part owners of Gucci,
[00:10:56.260 --> 00:10:57.900]   and this person-- - Who knows?
[00:10:57.900 --> 00:10:58.740]   - For free, right?
[00:10:58.740 --> 00:10:59.660]   You just don't even know.
[00:10:59.660 --> 00:11:02.420]   And by the way, if you have a few dollars,
[00:11:02.420 --> 00:11:03.580]   I'm not even saying a lot,
[00:11:03.580 --> 00:11:07.360]   and you choose to spend money on eating out all the time,
[00:11:07.360 --> 00:11:10.260]   or somebody else chooses it on a shirt they like,
[00:11:10.260 --> 00:11:13.420]   well, hey, that's tough to start making calls on that,
[00:11:13.420 --> 00:11:15.500]   which is wrong and which is right.
[00:11:15.500 --> 00:11:17.060]   I think money is neither good nor bad.
[00:11:17.060 --> 00:11:18.900]   It's what you do with it, right?
[00:11:18.900 --> 00:11:22.460]   So, but I do think the truth that I really took to heart
[00:11:22.460 --> 00:11:27.460]   was, hey, is my clothes a stumbling block
[00:11:27.460 --> 00:11:30.500]   to people hearing what's way more important,
[00:11:30.500 --> 00:11:33.340]   and that's about the love of Jesus and the love of God.
[00:11:33.340 --> 00:11:36.380]   And so, I actually kind of put my arms around the whole thing
[00:11:36.380 --> 00:11:38.300]   and said, I hear you.
[00:11:38.300 --> 00:11:39.740]   Like, I hear you, and you know what?
[00:11:39.740 --> 00:11:41.360]   I think we need to sober up a little bit
[00:11:41.360 --> 00:11:42.460]   as preachers and pastors,
[00:11:42.460 --> 00:11:45.300]   and I think this might have gotten a little out of control.
[00:11:45.300 --> 00:11:47.740]   And so, I have made some adjustments.
[00:11:47.740 --> 00:11:50.320]   To be completely candid, preachers and sneakers,
[00:11:50.320 --> 00:11:53.140]   the approach is not necessarily what I prefer.
[00:11:53.140 --> 00:11:55.620]   Preachers and sneakers, and the young man who started it
[00:11:55.620 --> 00:12:00.180]   has become someone that I would consider friendly, you know?
[00:12:00.180 --> 00:12:05.180]   But yeah, I would never do that to my friends.
[00:12:05.180 --> 00:12:06.960]   I would never put my friends on blast
[00:12:06.960 --> 00:12:08.820]   and post what they spend on their clothes.
[00:12:08.820 --> 00:12:12.500]   That's not my approach, but I do think that as a preacher
[00:12:12.500 --> 00:12:16.240]   who stands on a stage and enjoys clothes,
[00:12:16.240 --> 00:12:18.540]   fashion is always, I was raised by a strong mother
[00:12:18.540 --> 00:12:20.020]   and older sister, and they're like,
[00:12:20.020 --> 00:12:21.940]   you're coming to the malls of America,
[00:12:21.940 --> 00:12:23.780]   and we're gonna teach you our ways.
[00:12:23.780 --> 00:12:26.100]   So, it's a passion of mine,
[00:12:26.100 --> 00:12:28.300]   but I found other ways to express that passion,
[00:12:28.300 --> 00:12:31.980]   and Amazon Essentials is my new favorite brand.
[00:12:31.980 --> 00:12:33.900]   I wear a lot of Amazon Essentials, so.
[00:12:33.900 --> 00:12:36.580]   - That's pretty amazing, like, if I were you,
[00:12:36.580 --> 00:12:38.960]   I would have heard that and been like, man, what?
[00:12:38.960 --> 00:12:40.940]   Like, if I want to spend my money on shoes, I'm gonna do it.
[00:12:40.940 --> 00:12:43.640]   But you kind of took it, and your conclusion was like,
[00:12:43.640 --> 00:12:46.260]   I'm gonna try to at least change it a little bit.
[00:12:46.260 --> 00:12:48.340]   I'm kind of surprised by that, actually.
[00:12:48.340 --> 00:12:52.260]   - Well, I just, I really mean it, you know?
[00:12:52.260 --> 00:12:55.380]   And I saw your interview with Lecrae, for sure,
[00:12:55.380 --> 00:12:58.120]   and I just love that man so much and respect him so much.
[00:12:58.120 --> 00:13:01.920]   I think, I listen to Lecrae, and I feel a similar pain
[00:13:01.920 --> 00:13:04.140]   that I share with him, not in any means am I saying
[00:13:04.140 --> 00:13:07.300]   that I'm this incredible, well-known artist like Lecrae is.
[00:13:07.300 --> 00:13:10.600]   He's incredible, but I think there's that pain of like,
[00:13:10.600 --> 00:13:12.500]   man, I think people don't realize, like,
[00:13:12.500 --> 00:13:15.460]   I chose this 'cause I love people a lot.
[00:13:15.460 --> 00:13:18.000]   Like, I know Lecrae loved music and hip-hop,
[00:13:18.000 --> 00:13:21.740]   but he loved people, and so I love standing on a stage,
[00:13:21.740 --> 00:13:24.300]   telling people about Jesus, and then their eyes lighting up,
[00:13:24.300 --> 00:13:27.340]   or even like, you and Ciara have been in services,
[00:13:27.340 --> 00:13:28.900]   and I can see you laughing, you know,
[00:13:28.900 --> 00:13:31.160]   when I'm telling a joke, like, it means the world to me.
[00:13:31.160 --> 00:13:35.060]   So, if somebody comes to me, even abruptly,
[00:13:35.060 --> 00:13:39.260]   and is abrasive, and says, your clothes are a distraction
[00:13:39.260 --> 00:13:43.180]   to helping people, man, I gotta at least step back and go,
[00:13:43.180 --> 00:13:44.640]   is there any truth to that?
[00:13:44.640 --> 00:13:48.120]   'Cause if there is, how easy for me to change my shirt?
[00:13:48.120 --> 00:13:49.220]   Like, how easy is that?
[00:13:49.220 --> 00:13:50.820]   That's nothing, man.
[00:13:50.820 --> 00:13:54.100]   Now, start, you know, quoting and judging people
[00:13:54.100 --> 00:13:56.340]   on the amount of money they make and all of that.
[00:13:56.340 --> 00:13:58.140]   That's a real, real slippery slope.
[00:13:58.140 --> 00:14:00.700]   You know, what's the amount of money
[00:14:00.700 --> 00:14:03.140]   you don't judge people and criticize people?
[00:14:03.140 --> 00:14:05.380]   Well, that's silly, right?
[00:14:05.380 --> 00:14:07.420]   So, I think it is a slippery slope
[00:14:07.420 --> 00:14:08.900]   when we start taking shots at each other
[00:14:08.900 --> 00:14:11.140]   for the amount of money we have.
[00:14:11.140 --> 00:14:11.980]   - What about him?
[00:14:11.980 --> 00:14:14.180]   Did he, how did he react to it?
[00:14:14.180 --> 00:14:16.960]   Did he kind of see how his actions were hurting people,
[00:14:16.960 --> 00:14:18.680]   and like, you guys were seeing that?
[00:14:18.680 --> 00:14:20.160]   And did he kind of come to any--
[00:14:20.160 --> 00:14:21.400]   - Yeah, I'll give him a lot of credit.
[00:14:21.400 --> 00:14:23.960]   I'll say this, in the recording we did,
[00:14:23.960 --> 00:14:26.620]   which I think is promoting a resource
[00:14:26.620 --> 00:14:28.880]   or a book that he's putting out.
[00:14:28.880 --> 00:14:29.820]   He was cool, man.
[00:14:29.820 --> 00:14:32.080]   He said, you know, I really regret some stuff I did early on.
[00:14:32.080 --> 00:14:35.120]   And between me and you, I was like, what did you do?
[00:14:35.120 --> 00:14:36.360]   I don't even know, man.
[00:14:36.360 --> 00:14:39.180]   I just like, I'm not on social media that much,
[00:14:39.180 --> 00:14:41.240]   so I'm like, wait, what did you do?
[00:14:41.240 --> 00:14:42.680]   And actually, he told me a few things,
[00:14:42.680 --> 00:14:45.640]   and I was like, oh, yeah, bro, that's not good.
[00:14:45.640 --> 00:14:48.200]   Like, some of those are my friends, man.
[00:14:48.200 --> 00:14:49.320]   Like, that's my family.
[00:14:49.320 --> 00:14:51.400]   Like, and he's like, yeah, dude, I'm sorry.
[00:14:51.400 --> 00:14:53.040]   And I was like, oh, bro, thanks for saying that.
[00:14:53.040 --> 00:14:54.660]   So I, you know, he didn't have to do that,
[00:14:54.660 --> 00:14:55.800]   and he didn't have to say that.
[00:14:55.800 --> 00:15:00.200]   And so, man, I'm down with anybody who's like,
[00:15:00.200 --> 00:15:01.760]   you screw up, you just own it.
[00:15:01.760 --> 00:15:02.920]   And you go, man, it's what I did.
[00:15:02.920 --> 00:15:04.360]   I'm, you know, I shouldn't have done that.
[00:15:04.360 --> 00:15:05.600]   And it's like, cool, no problem.
[00:15:05.600 --> 00:15:07.280]   Let's keep rolling.
[00:15:07.280 --> 00:15:09.120]   - That's good.
[00:15:09.120 --> 00:15:10.840]   'Cause he's a Christian dude.
[00:15:10.840 --> 00:15:12.260]   I think I saw an article about it.
[00:15:12.260 --> 00:15:17.260]   So obviously, he wasn't trying to come off the way he was.
[00:15:17.260 --> 00:15:18.600]   He probably didn't even know you guys
[00:15:18.600 --> 00:15:19.840]   even paid attention to that stuff.
[00:15:19.840 --> 00:15:22.000]   But that's one thing, like, even me,
[00:15:22.000 --> 00:15:24.600]   people don't understand, like, as celebrities
[00:15:24.600 --> 00:15:27.640]   or whatever you wanna call it, like, we see stuff.
[00:15:27.640 --> 00:15:29.960]   When people are talking whatever, like, we see stuff.
[00:15:29.960 --> 00:15:30.800]   You know what I mean?
[00:15:30.800 --> 00:15:33.400]   And I think, like, one thing he was doing,
[00:15:33.400 --> 00:15:35.240]   like you just said, was judging.
[00:15:35.240 --> 00:15:37.560]   And I think, as Christians in general,
